epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.813,2.12321,3.80238,1.54328,0.00458,0.55,0.05039,0.00725,2.36629,4.24014,1.83833,0.000627451,0.000627451,0.000627451
2,205.003,2.07004,3.06227,1.4582,0.00542,0.65,0.05511,0.01393,2.22868,4.12333,1.68682,0.00126849,0.00126849,0.00126849
3,308.501,2.12299,2.88484,1.54801,0.00292,0.35,0.00127,0.00034,2.31429,4.12343,1.82027,0.00188314,0.00188314,0.00188314
4,411.614,2.1195,2.77672,1.59017,0.00442,0.5,0.00389,0.00099,2.50827,4.09525,2.16161,0.0018812,0.0018812,0.0018812
5,515.542,2.11224,2.48821,1.60306,0.00454,0.1,0.00132,0.00039,2.66227,5.00216,2.11721,0.0018416,0.0018416,0.0018416
6,619.033,2.05172,2.30891,1.55999,0.00298,0.275,0.00093,0.00018,2.5583,18.4031,2.15297,0.001802,0.001802,0.001802
7,1159.12,2.09131,2.25679,1.58923,0.24162,0.125,0.07601,0.01383,2.86749,4.16092,2.48404,0.0017624,0.0017624,0.0017624
8,1528.31,2.07025,2.0701,1.57559,0.2519,0.175,0.09982,0.02142,3.0461,3.20582,2.57612,0.0017228,0.0017228,0.0017228
9,1679.3,2.0569,2.16675,1.60699,0.26228,0.25,0.22823,0.05853,2.5485,2.71052,2.10139,0.0016832,0.0016832,0.0016832
10,1779.87,1.99916,2.0282,1.51498,0.45934,0.275,0.31445,0.11599,2.30425,2.29027,1.90002,0.0016436,0.0016436,0.0016436
11,1879.51,2.03078,1.96532,1.54782,0.29981,0.35,0.26548,0.07163,2.47273,2.6555,2.11791,0.001604,0.001604,0.001604
12,1979.72,1.96275,1.82844,1.52787,0.56943,0.125,0.18482,0.03753,2.83799,2.75241,2.27838,0.0015644,0.0015644,0.0015644
13,2083.58,1.89438,1.77436,1.48795,0.4646,0.2,0.22858,0.05612,2.70146,2.74234,2.07992,0.0015248,0.0015248,0.0015248
14,2192.32,1.9496,1.70574,1.5166,0.41719,0.275,0.26491,0.08531,2.452,2.4487,1.96341,0.0014852,0.0014852,0.0014852
15,2295.58,1.9,1.66175,1.49354,0.57458,0.325,0.39143,0.11673,2.34736,2.12401,1.91398,0.0014456,0.0014456,0.0014456
