epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4924,2.60323,7.42228,1.44147,0.00283,0.79828,0.00264,0.00102,1.90115,4.78413,1.09091,0.000512923,0.000512923,0.000512923
2,175.59,2.0651,4.62491,1.16391,0.00254,0.73707,0.0023,0.00094,1.41961,4.46717,1.00314,0.00104743,0.00104743,0.00104743
3,263.445,1.78363,3.45318,1.11148,0.00268,0.77931,0.00272,0.00128,1.34624,4.08609,0.97436,0.00155994,0.00155994,0.00155994
4,345.138,1.6658,3.33614,1.0208,0.00268,0.77931,0.028,0.01948,1.3137,3.99223,0.97589,0.00156798,0.00156798,0.00156798
5,440.364,1.70122,3.1442,1.07431,0.49377,0.2252,0.4242,0.24154,1.34797,3.13487,1.03122,0.00153497,0.00153497,0.00153497
6,528.629,1.69628,2.94066,1.04453,0.1348,0.08448,0.17707,0.0979,1.29579,3.12907,0.99525,0.00150197,0.00150197,0.00150197
7,614.888,1.4614,2.58931,1.00352,0.48089,0.38017,0.39456,0.25754,1.19683,2.64741,0.94234,0.00146896,0.00146896,0.00146896
8,711.786,1.42658,2.33968,0.99858,0.50554,0.72242,0.49593,0.32765,1.14296,2.19389,0.9364,0.00143595,0.00143595,0.00143595
9,805.063,1.42794,2.2346,0.99988,0.46413,0.6181,0.49663,0.34298,1.11179,2.03534,0.94134,0.00140295,0.00140295,0.00140295
10,902.255,1.42055,2.23527,0.99856,0.46657,0.68534,0.46216,0.27355,1.2677,2.01346,0.99697,0.00136994,0.00136994,0.00136994
11,986.694,1.40626,2.10238,0.98238,0.44293,0.77357,0.48141,0.30174,1.19626,1.92456,0.97568,0.00133693,0.00133693,0.00133693
12,1074.7,1.48486,2.33553,0.98927,0.43196,0.66247,0.44696,0.28787,1.2096,1.77227,0.96419,0.00130393,0.00130393,0.00130393
13,1169.62,1.39335,2.05746,0.97867,0.44645,0.66547,0.43026,0.28578,1.12551,1.84225,0.94175,0.00127092,0.00127092,0.00127092
14,1262.14,1.32263,2.05001,0.90892,0.43072,0.66424,0.45293,0.29505,1.12083,1.69435,0.94768,0.00123791,0.00123791,0.00123791
15,1347.74,1.33291,1.82134,0.94344,0.46196,0.76379,0.51787,0.3195,1.12963,1.68296,0.93378,0.00120491,0.00120491,0.00120491
16,1429.89,1.29977,1.73419,0.92644,0.4671,0.75043,0.52999,0.33314,1.12425,1.5862,0.93399,0.0011719,0.0011719,0.0011719
17,1518.16,1.29697,1.69118,0.94614,0.46322,0.78909,0.54439,0.36279,1.10085,1.55484,0.95593,0.00113889,0.00113889,0.00113889
18,1600.38,1.4331,1.76067,0.9409,0.41087,0.77598,0.50076,0.33518,1.07097,1.52827,0.92309,0.00110589,0.00110589,0.00110589
19,1689.85,1.1618,1.55234,0.91858,0.4255,0.78237,0.50478,0.34983,1.01737,1.43058,0.90778,0.00107288,0.00107288,0.00107288
20,1782.23,1.21901,1.53198,0.92345,0.41447,0.81379,0.56109,0.36426,1.09683,1.47542,0.91465,0.00103987,0.00103987,0.00103987
21,1892.41,1.09338,1.51587,0.90608,0.49518,0.85603,0.57708,0.39754,0.98742,1.33675,0.89447,0.00100687,0.00100687,0.00100687
22,1997.58,1.17641,1.51479,0.90715,0.49038,0.89828,0.58651,0.39333,1.02675,1.33234,0.89401,0.000973861,0.000973861,0.000973861
23,2086.74,1.13373,1.49182,0.91903,0.45978,0.83996,0.52065,0.36452,1.04745,1.36319,0.91354,0.000940855,0.000940855,0.000940855
24,2168.83,1.13456,1.41355,0.9131,0.48758,0.89607,0.5263,0.36268,0.94813,1.28633,0.88612,0.000907848,0.000907848,0.000907848
25,2249.39,1.2463,1.43416,0.91143,0.45194,0.82806,0.55706,0.37865,1.0367,1.29311,0.90202,0.000874842,0.000874842,0.000874842
