epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4298,2.60323,7.42228,1.44147,0.00283,0.79828,0.00264,0.00102,1.90115,4.78413,1.09091,0.000512923,0.000512923,0.000512923
2,166.706,2.06511,4.62485,1.16391,0.00254,0.73707,0.0023,0.00094,1.41959,4.4671,1.00314,0.00104743,0.00104743,0.00104743
3,242.141,1.7842,3.45305,1.11147,0.00268,0.77931,0.00272,0.00128,1.35071,4.0884,0.97562,0.00155994,0.00155994,0.00155994
4,317.93,1.67261,3.35262,1.02433,0.00268,0.77931,0.0144,0.00838,1.40138,3.95943,0.99045,0.00156798,0.00156798,0.00156798
5,393.928,1.72266,3.09098,1.07501,0.00325,0.90776,0.39948,0.22941,1.35616,3.26303,1.01077,0.00153497,0.00153497,0.00153497
6,469.192,1.67092,2.92691,1.03553,0.37968,0.1156,0.31852,0.19279,1.33043,3.13859,0.98829,0.00150197,0.00150197,0.00150197
7,546.324,1.4992,2.59285,0.99973,0.40348,0.5181,0.40554,0.23911,1.2584,2.51513,0.91463,0.00146896,0.00146896,0.00146896
8,622.659,1.42787,2.36672,0.98937,0.3473,0.4931,0.37737,0.22961,1.19116,2.32902,0.90387,0.00143595,0.00143595,0.00143595
9,698.066,1.38697,2.1597,0.98242,0.44039,0.60354,0.44503,0.27965,1.1442,2.06075,0.92123,0.00140295,0.00140295,0.00140295
10,776.286,1.4088,2.1714,0.99005,0.514,0.63215,0.5221,0.31581,1.22371,2.11439,0.95099,0.00136994,0.00136994,0.00136994
11,857.052,1.4084,2.15215,0.97774,0.40363,0.67639,0.45198,0.27713,1.17489,2.00601,0.96397,0.00133693,0.00133693,0.00133693
12,934.456,1.587,2.25303,1.00178,0.46997,0.77155,0.4723,0.29451,1.19668,1.78501,0.96049,0.00130393,0.00130393,0.00130393
13,1011.52,1.4466,2.01396,0.98905,0.46455,0.79655,0.46192,0.30905,1.07074,1.732,0.91053,0.00127092,0.00127092,0.00127092
14,1088.63,1.34844,2.02216,0.91412,0.41793,0.75431,0.48126,0.29688,1.13854,1.75694,0.93818,0.00123791,0.00123791,0.00123791
15,1165.1,1.36629,1.81794,0.95794,0.44512,0.62155,0.54234,0.34714,1.07565,1.65079,0.92036,0.00120491,0.00120491,0.00120491
16,1241.55,1.34148,1.72645,0.92919,0.46624,0.66379,0.5516,0.36213,1.15308,1.65052,0.93869,0.0011719,0.0011719,0.0011719
17,1317.62,1.32477,1.68831,0.94894,0.46678,0.80603,0.54249,0.3765,1.0698,1.5307,0.91002,0.00113889,0.00113889,0.00113889
18,1395.84,1.43131,1.78607,0.93309,0.47094,0.76985,0.582,0.37607,1.11684,1.54038,0.92601,0.00110589,0.00110589,0.00110589
19,1471.62,1.17764,1.55323,0.92336,0.46871,0.83103,0.57956,0.39789,0.98658,1.39491,0.90328,0.00107288,0.00107288,0.00107288
20,1550.22,1.20699,1.53824,0.92272,0.4283,0.84828,0.51716,0.32807,1.00365,1.50067,0.89991,0.00103987,0.00103987,0.00103987
21,1629.14,1.1118,1.53245,0.91479,0.45393,0.89828,0.59404,0.40851,1.01567,1.34756,0.91233,0.00100687,0.00100687,0.00100687
22,1706.53,1.19387,1.5283,0.90528,0.46454,0.83033,0.58447,0.40296,0.98405,1.37522,0.89106,0.000973861,0.000973861,0.000973861
23,1787.3,1.15082,1.50951,0.92038,0.47101,0.85603,0.59285,0.41418,0.97662,1.41713,0.88312,0.000940855,0.000940855,0.000940855
24,1864.29,1.15449,1.45284,0.92106,0.48051,0.85603,0.56602,0.39592,0.91906,1.29559,0.8695,0.000907848,0.000907848,0.000907848
25,1940.84,1.23638,1.43653,0.91335,0.47226,0.87328,0.59031,0.41398,0.9995,1.25924,0.89392,0.000874842,0.000874842,0.000874842
26,2023.92,1.22392,1.44239,0.9076,0.46609,0.91552,0.59848,0.43471,0.97905,1.25062,0.88958,0.000841835,0.000841835,0.000841835
27,2112.48,1.11886,1.39578,0.9135,0.4815,0.86366,0.59107,0.40637,0.97341,1.2971,0.87915,0.000808828,0.000808828,0.000808828
28,2200.95,1.11465,1.29867,0.8948,0.4756,0.85127,0.5788,0.40058,0.9915,1.36516,0.88804,0.000775822,0.000775822,0.000775822
29,2284.07,1.0792,1.37347,0.91666,0.46766,0.85603,0.58155,0.41441,0.97188,1.26608,0.89145,0.000742815,0.000742815,0.000742815
30,2368.27,1.08711,1.33744,0.90086,0.48165,0.78275,0.57262,0.42036,0.9367,1.28471,0.87731,0.000709809,0.000709809,0.000709809
31,2451.26,1.12332,1.30879,0.90856,0.47806,0.79655,0.57633,0.42471,0.91066,1.23583,0.87932,0.000676802,0.000676802,0.000676802
32,2534.9,1.09615,1.26995,0.88411,0.46891,0.83103,0.58506,0.4246,0.94875,1.24119,0.87664,0.000643795,0.000643795,0.000643795
33,2616.68,1.13642,1.36679,0.9051,0.45715,0.85173,0.5905,0.41945,0.93751,1.2114,0.88298,0.000610789,0.000610789,0.000610789
34,2780.87,1.13834,1.27143,0.89462,0.4507,0.82155,0.54873,0.3899,0.90144,1.32577,0.86893,0.000577782,0.000577782,0.000577782
35,2858.95,1.22953,1.33401,0.92714,0.47062,0.80608,0.54793,0.39907,0.97693,1.22534,0.88347,0.000544776,0.000544776,0.000544776
36,2937.2,1.13215,1.19938,0.88352,0.45022,0.84828,0.53472,0.38895,0.92957,1.1624,0.87458,0.000511769,0.000511769,0.000511769
37,3014.49,1.19919,1.32535,0.87747,0.4621,0.86552,0.54733,0.39054,0.92771,1.16864,0.88182,0.000478762,0.000478762,0.000478762
38,3089.5,1.03469,1.2049,0.88561,0.4907,0.72328,0.58284,0.40521,0.96456,1.17198,0.88472,0.000445756,0.000445756,0.000445756
39,3162.75,1.00505,1.22038,0.87419,0.45856,0.81068,0.57867,0.42894,0.93095,1.16462,0.88755,0.000412749,0.000412749,0.000412749
40,3236.39,1.01484,1.21672,0.89421,0.50973,0.69828,0.62265,0.45299,0.97648,1.16246,0.90036,0.000379743,0.000379743,0.000379743
41,3309.61,1.12048,1.3392,0.89532,0.4371,0.79828,0.57583,0.41593,0.98184,1.17224,0.90051,0.000346736,0.000346736,0.000346736
42,3382.39,1.13976,1.30996,0.91044,0.46283,0.82328,0.59324,0.42123,0.96902,1.16938,0.89452,0.000313729,0.000313729,0.000313729
43,3455.4,0.97327,1.21884,0.88317,0.47114,0.86552,0.58976,0.41506,0.94324,1.13627,0.88873,0.000280723,0.000280723,0.000280723
44,3528.57,0.93274,1.14998,0.83713,0.46052,0.86552,0.58877,0.41756,0.97697,1.15387,0.89899,0.000247716,0.000247716,0.000247716
45,3603.82,0.89815,1.1321,0.84974,0.46371,0.88243,0.58427,0.41783,1.00551,1.16886,0.90644,0.00021471,0.00021471,0.00021471
46,3676.96,0.90304,1.09044,0.86943,0.46094,0.87925,0.58975,0.42167,1.01352,1.17357,0.90141,0.000181703,0.000181703,0.000181703
47,3749.46,0.95563,1.20668,0.86976,0.44472,0.86552,0.61561,0.43449,0.97407,1.12987,0.89152,0.000148696,0.000148696,0.000148696
48,3822.37,0.88833,1.15912,0.85078,0.43483,0.86552,0.61445,0.42601,0.9634,1.11464,0.89143,0.00011569,0.00011569,0.00011569
49,4091.78,1.05854,1.21672,0.86999,0.4449,0.86552,0.61841,0.4298,0.94691,1.10995,0.88836,8.26832e-05,8.26832e-05,8.26832e-05
50,4165.71,0.90805,1.05372,0.84201,0.46977,0.84828,0.61081,0.42758,0.94052,1.11425,0.88768,4.96766e-05,4.96766e-05,4.96766e-05
