epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8485,1.51744,3.35654,1.72938,0.00238,0.90909,0.24444,0.10643,1.81242,4.69392,1.86247,0.000444444,0.000444444,0.000444444
2,35.8564,1.65216,3.68733,1.84067,0.00214,0.81818,0.07081,0.03744,2.21647,5.58577,2.57756,0.00108911,0.00108911,0.00108911
3,53.1145,1.53853,3.18056,1.70205,0.00214,0.81818,0.00883,0.0026,2.32555,5.84153,2.59645,0.00170738,0.00170738,0.00170738
4,70.7465,1.90991,3.46504,2.0154,0.00214,0.81818,0.00689,0.00205,2.60025,5.47037,3.50426,0.0018812,0.0018812,0.0018812
5,88.5963,1.7574,3.56866,1.85248,0.00214,0.81818,0.01487,0.00494,2.85203,5.95525,4.55808,0.0018416,0.0018416,0.0018416
6,107.328,2.14237,3.92026,2.20137,0.00214,0.81818,0.01487,0.00494,2.85203,5.95525,4.55808,0.001802,0.001802,0.001802
7,128.526,1.83945,3.36217,2.18757,0.0019,0.72727,0.01205,0.00258,2.50914,5.72865,4.17695,0.0017624,0.0017624,0.0017624
8,150.38,1.97333,3.31533,2.14974,0.00167,0.63636,0.01225,0.00333,3.23865,6.59714,6.13489,0.0017228,0.0017228,0.0017228
9,167.579,2.02461,3.50747,2.20919,0.00902,0.36364,0.01068,0.00413,3.33494,9.20843,5.88591,0.0016832,0.0016832,0.0016832
10,184.387,1.76377,3.17435,2.01342,0.00902,0.36364,0.01068,0.00413,3.33494,9.20843,5.88591,0.0016436,0.0016436,0.0016436
11,201.239,2.18244,3.79317,2.28333,0.01404,0.18182,0.01496,0.00752,3.69429,57.4574,20.7293,0.001604,0.001604,0.001604
12,217.833,2.18157,3.47262,2.24699,0.01639,0.09091,0.00948,0.00226,3.49684,265.484,24.3327,0.0015644,0.0015644,0.0015644
13,234.765,1.92285,3.24109,2.13262,0.01652,0.09091,0.00695,0.00193,3.27876,22.6376,6.29358,0.0015248,0.0015248,0.0015248
14,251.932,2.05797,3.44286,2.15341,0.01652,0.09091,0.00695,0.00193,3.27876,22.6376,6.29358,0.0014852,0.0014852,0.0014852
15,269.143,2.07485,3.1374,2.22442,0.24739,0.09091,0.03972,0.01531,2.9457,9.32343,4.75082,0.0014456,0.0014456,0.0014456
16,286.052,1.96141,3.06655,2.14793,0.3397,0.09091,0.05635,0.01689,3.56479,8.31659,6.40044,0.001406,0.001406,0.001406
